Station;Region;Département;forfait ski 5 jours adulte;piste verte;piste bleu;piste rouge;piste noire;nombre de pistes;altitude minimum;altitude maximum;dénivelé;piste la plus longue;neige de culture;télésiège 2 places;télésiète 4 places;Tire fesse
Chamonix;Haute Savoie;Alpes du Nord;246;15;36;40;15;106;1042m;3275m;2233m;19km;0ha;4;6;18
Avoriaz;Haute Savoie;Alpes du Nord;247.5;6;24;15;6;51;1800m;2460m;1260m;0km;57ha;2;0;14
Chamonix - Argentière;Haute Savoie;Alpes du Nord;246;15;36;40;15;106;1042m;3275m;2233m;19km;0ha;4;6;18
Chamonix - Les Houches;Haute Savoie;Alpes du Nord;246;15;36;40;15;106;1042m;3275m;2233m;19km;0ha;4;6;18
Chamonix - Vallorcine;Haute Savoie;Alpes du Nord;246;15;36;40;15;106;1042m;3275m;2233m;19km;0ha;4;6;18
Châtel;Haute Savoie;Alpes du Nord;190;9;16;15;6;46;1100m;2200m;1100m;3.7km;30ha;0;2;28
Combloux;Haute Savoie;Alpes du Nord;166;12;17;28;7;64;1020m;1930m;910m;5.5km;17ha;0;6;22
Evian Les Bains;Haute Savoie;Alpes du Nord;0;1;2;1;1;5;1250m;1700m;450m;9.5km;;0;0;0
Flaine;Haute Savoie;Alpes du Nord;237;8;26;25;5;64;1600m;2500m;1600m;14km;0ha;3;2;10
La Chapelle d'Abondance;Haute Savoie;Alpes du Nord;140;5;16;10;0;31;1000m;1800m;800m;0km;0ha;5;2;12
La Clusaz;Haute Savoie;Alpes du Nord;156.8;18;30;29;7;84;1040m;2500m;1500m;2km;88ha;4;7;28
Le Grand Bornand;Haute Savoie;Alpes du Nord;170;12;14;13;3;42;1000m;2100m;1100m;3km;86ha;2;3;17
Le Praz de Lys;Haute Savoie;Alpes du Nord;129;7;3;7;3;20;1350m;1860m;510m;0km;8ha;0;1;9
Les Carroz d'Araches;Haute Savoie;Alpes du Nord;205.2;4;3;4;3;14;1010m;1258m;248m;0.6km;6ha;0;0;5
Les Contamines Montjoie;Haute Savoie;Alpes du Nord;191.5;8;12;18;10;48;1160m;2450m;1290m;10km;50ha;0;2;12
Les Gets;Haute Savoie;Alpes du Nord;191;3;28;29;9;69;1172m;2002m;830m;0km;126ha;2;5;20
Lugrin;Haute Savoie;Alpes du Nord;216;4;13;7;6;30;1440m;2260m;820m;0km;47ha;0;2;10
Manigod - l'Etale;Haute Savoie;Alpes du Nord;116.3;5;13;15;1;34;1500m;1810m;310m;0km;19ha;2;2;13
Megève;Haute Savoie;Alpes du Nord;225;35;53;71;24;183;1050m;2350m;1300m;0km;172ha;3;8;57
Morillon;Haute Savoie;Alpes du Nord;205.2;2;9;5;1;17;1100m;2500m;1400m;14km;;0;2;4
Morzine;Haute Savoie;Alpes du Nord;132;6;54;42;15;117;1000m;2466m;1466m;0km;98ha;0;46;31
Praz sur Arly;Haute Savoie;Alpes du Nord;155;34;59;47;11;151;1035m;2069m;1034m;0km;;0;4;9
Saint Gervais Mont Blanc;Haute Savoie;Alpes du Nord;170.5;2;5;12;2;21;1400m;1920m;520m;3km;0ha;1;0;6
Samoens;Haute Savoie;Alpes du Nord;162.5;6;12;10;2;30;1750m;2800m;1050m;1km;50ha;0;1;11
Allevard Les Bains;Isère;Alpes du Nord;;5;9;7;4;25;1500m;2100m;700m;3km;23ha;1;2;8
Alpe d'Huez;Isère;Alpes du Nord;;41;38;39;17;135;1860m;3300m;1440m;16km;275ha;5;8;35
Auris en Oisans;Isère;Alpes du Nord;;5;9;7;3;24;1600m;3300m;1730m;16km;275ha;2;2;4
Autrans;Isère;Alpes du Nord;;7;4;8;2;21;1050m;1710m;660m;1.5km;0ha;0;1;10
Chamrousse;Isère;Alpes du Nord;168.2;8;13;14;6;41;1400m;2250m;850m;3km;11ha;0;2;10
Gresse En Vercors;Isère;Alpes du Nord;99.5;9;6;8;3;26;1245m;1751m;506m;11km;0ha;1;0;9
Les 2 Alpes;Isère;Alpes du Nord;237;2;2;2;0;6;1350m;3600m;1950m;16km;0ha;1;8;18
Les 7 Laux - Le Pleynet;Isère;Alpes du Nord;175;2;2;2;;6;960m;1350m;390m;1.5km;0ha;0;0;5
Les 7 Laux - Prapoutel;Isère;Alpes du Nord;175;2;2;2;0;6;960m;1350m;390m;1.5km;0ha;0;0;5
Oz en Oisans;Isère;Alpes du Nord;164;7;11;9;3;30;1100m;2800m;1700m;16km;275ha;0;3;11
Vaujany;Isère;Alpes du Nord;164;7;11;9;3;30;1650m;2800m;1150m;16km;275ha;0;3;11
Courchevel;Savoie;Alpes du Nord;245;19;37;31;8;95;1350m;2738m;1388m;9km;282ha;0;3;29
La Plagne;Savoie;Alpes du Nord;246;10;69;33;18;130;1250m;3250m;2000m;6km;132ha;4;9;60
Les Arcs;Savoie;Alpes du Nord;250;1;54;34;18;107;1200m;3226m;2026m;7km;105ha;2;4;25
Tignes;Savoie;Alpes du Nord;180;6;34;21;16;77;1550m;3450m;1900m;5km;0ha;0;6;13
Albertville - Mercury;Savoie;Alpes du Nord;;8;23;6;4;41;1000m;1900m;900m;0km;0ha;0;2;16
Albiez-Montrond;Savoie;Alpes du Nord;;5;9;7;4;25;1500m;2100m;700m;3km;23ha;1;2;8
Arc 1600;Savoie;Alpes du Nord;;6;6;4;1;17;1350m;1807m;557m;5km;0ha;0;2;11
Arc 1800;Savoie;Alpes du Nord;;6;6;4;1;17;1350m;1807m;557m;5km;0ha;0;2;11
Arc 1950;Savoie;Alpes du Nord;;6;6;4;1;17;1350m;1807m;557m;5km;0ha;0;2;11
Arc 2000;Savoie;Alpes du Nord;;6;6;4;1;17;1350m;1807m;557m;5km;0ha;0;2;11
Arêches Beaufort;Savoie;Alpes du Nord;;2;11;12;4;29;1080m;2320m;1220m;5km;0ha;0;2;9
Aussois;Savoie;Alpes du Nord;;5;6;7;3;21;1500m;2750m;1250m;3.4km;10ha;2;0;4
Bessans;Savoie;Alpes du Nord;;1;2;0;0;3;1740m;2000m;260m;0km;;0;0;2
Bonneval sur Arc;Savoie;Alpes du Nord;;5;9;5;2;21;1800m;3000m;1200m;0km;0ha;0;3;8
Bourg St Maurice - Les Arcs;Savoie;Alpes du Nord;;5;9;5;2;21;1800m;3000m;1200m;0km;0ha;0;3;8
Brides les Bains;Savoie;Alpes du Nord;;8;27;24;7;66;600m;2950m;2350m;1.2km;101ha;0;3;10
Celliers;Savoie;Alpes du Nord;;5;2;7;1;15;1680m;2500m;770m;1km;13ha;0;0;5
Champagny en Vanoise;Savoie;Alpes du Nord;84;9;63;34;19;125;1250m;3250m;2000m;7.5km;0ha;4;16;52
Courchevel 1350;Savoie;Alpes du Nord;;19;37;31;8;95;1350m;2738m;1388m;9km;282ha;0;3;29
Courchevel 1550;Savoie;Alpes du Nord;;19;37;31;8;95;1350m;2738m;1388m;9km;282ha;0;3;29
Courchevel 1650;Savoie;Alpes du Nord;;19;37;31;8;95;1350m;2738m;1388m;9km;282ha;0;3;29
Courchevel 1850;Savoie;Alpes du Nord;;19;37;31;8;95;1350m;2738m;1388m;9km;282ha;0;3;29
Crest Voland;Savoie;Alpes du Nord;;19;37;31;8;95;1350m;2738m;1388m;9km;282ha;0;3;29
Doucy Valmorel;Savoie;Alpes du Nord;;14;26;11;5;56;1400m;2550m;1150m;0km;0ha;2;2;21
Flumet;Savoie;Alpes du Nord;;8;26;25;5;64;1600m;2500m;1600m;14km;0ha;3;2;10
