F:\Public-purged-every-7-days\TMO
http://www.yamli.com/fr/
w;et
init;toi(fem)
sahitek;bravo
labes;ça va
Hamdoullah;Dieu merci
Hayel;génial
Behi;ok
chbik;qu'est ce que tu as
3ndi;j'ai
chahouwa;envie
men;de
n7eb nor9od;je veux dormir
3andi chahouwa;j'ai une envie
n7eb;j'aime|je veux
nor9od;je dors
tor9ed;tu dors
yor9ed;il dors
r9adt;je dormais
beslama;au revoir
ghodwa net9ablou;a demain
nchoufek ghodwa;je te vois demain
tchoufni ghodwa;tu me vois demain
rod belek aala rouhek;fait attention à toi
rod;vomir
aslema;bonjour
belgdé;bien
lbera7;hier
r9adt belgdé lbera7;
ahlan;salut
asslema;salut
maak;avec toi
si fama 7aja;s'il y'a quelque chose
rabi maak;bon courage
jo3et;j'ai faim
ena;moi
7atena;moi aussi
chokran;merci
mè fhemtech;je n'ai pas compris
fech ta3mel;tu fais quoi
ay;oui
mouch 7all haka;c'est pas une solution ça
manich;je ne suis pas
nemchi;vas y/j'y vais
ma3adesh barcha;j'ai faim
mo5i s5on! mon cerveau surchauffe
chnowa lezemna naamlou;qu'est qu'il faudra qu'on fasse
hakeka w barra: ça laisse à désirer
sbe7 l khir;bonjour matin
r9adt belgdé;bien dormis
nahik;je reste
taw no93ed;je resterai
wenti;et toi
n7ell fi 3inaya bessif;j'arrive à peine à ouvrir mes yeux
rassi youja3 misbe7;j'ai mal à la tête depuis le matin
mrawha;je rentre
ennour;lumière, soleil lummineux
i khir; la paix
men ghir mzya;de rien
lé;non
sa7a;tant mieux pour toi
yaatik essa7a;toi aussi bonne digestion
lyoum;aujourd'hui
nrawa7;rentrer
saha;tant mieux
yaatik essaaha: merci 
